#      N    Ka    Kc     J  Itot     F   energy (meV)   lifetime (s)
       6     1     5  11/2     1  13/2      60.177882       2.821581 ± .000049
       4     4     1   9/2     0   9/2      61.450821       0.240749 ± .000001
       4     4     0   9/2     1  11/2      61.451382       0.240764 ± .000001
       4     4     0   9/2     1   9/2      61.451517       0.240773 ± .000001
       4     4     0   9/2     1   7/2      61.451635       0.240803 ± .000001
       4     4     1   7/2     0   7/2      61.903827       0.238268 ± .000001
       4     4     0   7/2     1   5/2      61.904427       0.238371 ± .000001
       4     4     0   7/2     1   7/2      61.904478       0.238241 ± .000001
       4     4     0   7/2     1   9/2      61.904554       0.238205 ± .000001
       6     2     5  13/2     0  13/2      62.795572       0.841546 ± .000003
       6     2     5  11/2     0  11/2      62.920793       0.836196 ± .000005
       7     0     7  15/2     0  15/2      66.164991       0.975935 ± .000019
       7     0     7  13/2     0  13/2      66.204034       0.975894 ± .000019
       7     1     7  15/2     1  17/2      66.289037       0.911425 ± .000013
       7     1     7  15/2     1  15/2      66.289248       0.911732 ± .000013
       7     1     7  15/2     1  13/2      66.289434       0.911680 ± .000013
       7     1     7  13/2     1  11/2      66.330014       0.911097 ± .000014
       7     1     7  13/2     1  13/2      66.330188       0.910960 ± .000014
       7     1     7  13/2     1  15/2      66.330386       0.910757 ± .000014
       6     2     4  13/2     1  15/2      66.590268       1.618473 ± .000013
       6     2     4  13/2     1  13/2      66.590473       1.618408 ± .000013
       6     2     4  13/2     1  11/2      66.590650       1.618536 ± .000013
       6     2     4  11/2     1   9/2      66.722960       1.604982 ± .000012
       6     2     4  11/2     1  11/2      66.723119       1.604831 ± .000012
       6     2     4  11/2     1  13/2      66.723306       1.604225 ± .000012
       5     4     2  11/2     1  13/2      74.627718       0.223628 ± .000001
       5     4     2  11/2     1  11/2      74.627879       0.223688 ± .000001
       5     4     2  11/2     1   9/2      74.628015       0.223748 ± .000001
       5     4     1  11/2     0  11/2      74.633706       0.223899 ± .000001
       5     4     2   9/2     1   7/2      75.014040       0.221874 ± .000001
       5     4     2   9/2     1   9/2      75.014139       0.221859 ± .000001
       5     4     2   9/2     1  11/2      75.014263       0.221728 ± .000001
       5     4     1   9/2     0   9/2      75.019991       0.221995 ± .000001
       6     3     4  13/2     0  13/2      75.205924       0.404297 ± .000003
       6     3     4  11/2     0  11/2      75.426932       0.401170 ± .000004
       6     3     3  13/2     1  15/2      75.776624       0.443156 ± .000004
       6     3     3  13/2     1  13/2      75.776818       0.443155 ± .000004
       6     3     3  13/2     1  11/2      75.776986       0.443275 ± .000004
       6     3     3  11/2     1   9/2      75.995681       0.439916 ± .000004
       6     3     3  11/2     1  11/2      75.995831       0.439884 ± .000004
       6     3     3  11/2     1  13/2      75.996004       0.439781 ± .000004
       7     1     6  15/2     0  15/2      78.387997       1.360112 ± .000045
       7     1     6  13/2     0  13/2      78.483886       1.361853 ± .000043
       7     2     6  15/2     1  17/2      80.249724       0.648079 ± .000006
       7     2     6  15/2     1  15/2      80.249934       0.648084 ± .000006
       7     2     6  15/2     1  13/2      80.250109       0.648215 ± .000006
       7     2     6  13/2     1  11/2      80.370789       0.645424 ± .000007
       7     2     6  13/2     1  13/2      80.370957       0.645413 ± .000008
       7     2     6  13/2     1  15/2      80.371150       0.645257 ± .000008
       8     0     8  17/2     1  19/2      84.046685       0.659054 ± .000023
       8     0     8  17/2     1  17/2      84.046896       0.659047 ± .000023
       8     0     8  17/2     1  15/2      84.047082       0.659104 ± .000023
       8     0     8  15/2     1  13/2      84.086880       0.659170 ± .000023
       8     0     8  15/2     1  15/2      84.087054       0.659230 ± .000023
       8     0     8  15/2     1  17/2      84.087265       0.658945 ± .000024
       8     1     8  17/2     0  17/2      84.111033       0.639029 ± .000020
       8     1     8  15/2     0  15/2      84.152121       0.638845 ± .000020
       7     2     5  15/2     0  15/2      86.108716       1.425708 ± .000027
       7     2     5  13/2     0  13/2      86.242150       1.417669 ± .000024
       6     4     3  13/2     0  13/2      90.435429       0.208001 ± .000002
       6     4     2  13/2     1  15/2      90.463288       0.208829 ± .000002
       6     4     2  13/2     1  13/2      90.463462       0.208945 ± .000002
       6     4     2  13/2     1  11/2      90.463610       0.208933 ± .000002
       6     4     3  11/2     0  11/2      90.777625       0.206604 ± .000002
       6     4     2  11/2     1   9/2      90.805385       0.207669 ± .000002
       6     4     2  11/2     1  11/2      90.805509       0.207645 ± .000002
       6     4     2  11/2     1  13/2      90.805658       0.207506 ± .000002
       5     5     1  11/2     1  13/2      93.493361       0.131176 ± .000011
       5     5     1  11/2     1  11/2      93.493489       0.131204 ± .000011
       5     5     0  11/2     0  11/2      93.493517       0.131180 ± .000011
       5     5     1  11/2     1   9/2      93.493595       0.131237 ± .000011
       7     3     5  15/2     1  17/2      93.494829       0.359878 ± .000006
       7     3     5  15/2     1  15/2      93.495025       0.359956 ± .000006
       7     3     5  15/2     1  13/2      93.495196       0.359952 ± .000005
       7     3     5  13/2     1  11/2      93.700802       0.358252 ± .000006
       7     3     5  13/2     1  13/2      93.700961       0.358300 ± .000006
       7     3     5  13/2     1  15/2      93.701140       0.358226 ± .000006
       5     5     1   9/2     1   7/2      94.048294       0.130157 ± .000010
       5     5     1   9/2     1   9/2      94.048354       0.130174 ± .000010
       5     5     0   9/2     0   9/2      94.048421       0.130170 ± .000011
       5     5     1   9/2     1  11/2      94.048429       0.130172 ± .000011
       7     3     4  15/2     0  15/2      94.780585       0.437316 ± .000007
       7     3     4  13/2     0  13/2      94.983845       0.434038 ± .000006
       8     1     7  17/2     1  19/2      98.758747       0.762386 ± .000039
       8     1     7  17/2     1  17/2      98.758946       0.762432 ± .000039
       8     1     7  17/2     1  15/2      98.759132       0.762381 ± .000039
       8     1     7  15/2     1  13/2      98.861357       0.763186 ± .000037
       8     1     7  15/2     1  15/2      98.861530       0.763064 ± .000037
       8     1     7  15/2     1  17/2      98.861729       0.763044 ± .000038
       8     2     7  17/2     0  17/2      99.952831       0.498315 ± .000010
       8     2     7  15/2     0  15/2     100.071924       0.496922 ± .000011
       9     0     9  19/2     0  19/2     103.985412       0.473392 ± .000029
       9     1     9  19/2     1  21/2     104.018045       0.466789 ± .000027
       9     1     9  19/2     1  19/2     104.018256       0.466813 ± .000027
       9     1     9  19/2     1  17/2     104.018442       0.466769 ± .000027
       9     0     9  17/2     0  17/2     104.026426       0.473242 ± .000029
       9     1     9  17/2     1  15/2     104.059431       0.466628 ± .000027
       9     1     9  17/2     1  17/2     104.059604       0.466778 ± .000027
       9     1     9  17/2     1  19/2     104.059815       0.466676 ± .000027
       8     2     6  17/2     1  19/2     108.232701       1.099667 ± .000049
       8     2     6  17/2     1  17/2     108.232907       1.099617 ± .000048
       8     2     6  17/2     1  15/2     108.233086       1.099733 ± .000048
       8     2     6  15/2     1  13/2     108.368499       1.085155 ± .000044
       8     2     6  15/2     1  15/2     108.368663       1.085085 ± .000044
       8     2     6  15/2     1  17/2     108.368866       1.084663 ± .000045
       7     4     4  15/2     1  17/2     108.872547       0.194758 ± .000004
       7     4     4  15/2     1  15/2     108.872720       0.194901 ± .000004
       7     4     4  15/2     1  13/2     108.872881       0.194903 ± .000004
       7     4     3  15/2     0  15/2     108.968349       0.196700 ± .000004
       7     4     4  13/2     1  11/2     109.182805       0.193379 ± .000004
       7     4     4  13/2     1  13/2     109.182941       0.193348 ± .000004
       7     4     4  13/2     1  15/2     109.183102       0.193115 ± .000004
       7     4     3  13/2     0  13/2     109.279673       0.195565 ± .000004
       6     5     2  13/2     0  13/2     109.318062       0.124547 ± .000008
       6     5     1  13/2     1  15/2     109.318496       0.124439 ± .000008
       6     5     1  13/2     1  13/2     109.318637       0.124567 ± .000008
       6     5     1  13/2     1  11/2     109.318768       0.124579 ± .000008
       6     5     2  11/2     0  11/2     109.805237       0.123730 ± .000008
       6     5     1  11/2     1   9/2     109.805682       0.124087 ± .000008
       6     5     1  11/2     1  11/2     109.805775       0.123849 ± .000008
       6     5     1  11/2     1  13/2     109.805888       0.123787 ± .000008
       8     3     6  17/2     0  17/2     114.273615       0.318204 ± .000008
       8     3     6  15/2     0  15/2     114.469964       0.316939 ± .000009
       8     3     5  17/2     1  19/2     116.728755       0.447224 ± .000014
       8     3     5  17/2     1  17/2     116.728941       0.447332 ± .000014
       8     3     5  17/2     1  15/2     116.729127       0.447226 ± .000014
       8     3     5  15/2     1  13/2     116.922083       0.444344 ± .000012
       8     3     5  15/2     1  15/2     116.922257       0.444506 ± .000012
       8     3     5  15/2     1  17/2     116.922443       0.444223 ± .000013
       9     1     8  19/2     0  19/2     121.119518       0.486150 ± .000036
       9     1     8  17/2     0  17/2     121.227806       0.486233 ± .000035
       9     2     8  19/2     1  21/2     121.843285       0.385318 ± .000014
       9     2     8  19/2     1  19/2     121.843476       0.385360 ± .000014
       9     2     8  19/2     1  17/2     121.843669       0.385333 ± .000014
       9     2     8  17/2     1  15/2     121.961718       0.384570 ± .000015
       9     2     8  17/2     1  17/2     121.961902       0.384571 ± .000015
       9     2     8  17/2     1  19/2     121.962097       0.384590 ± .000015
      10     0    10  21/2     1  23/2     125.981310       0.355321 ± .000035
      10     0    10  21/2     1  21/2     125.981521       0.355330 ± .000035
      10     0    10  21/2     1  19/2     125.981707       0.355331 ± .000035
      10     1    10  21/2     0  21/2     125.998259       0.352956 ± .000034
      10     0    10  19/2     1  17/2     126.022919       0.355222 ± .000035
      10     0    10  19/2     1  19/2     126.023105       0.355222 ± .000035
      10     0    10  19/2     1  21/2     126.023304       0.355227 ± .000035
      10     1    10  19/2     0  19/2     126.040029       0.352888 ± .000034
       7     5     3  15/2     1  17/2     127.757781       0.118157 ± .000008
       7     5     3  15/2     1  15/2     127.757942       0.118417 ± .000008
       7     5     3  15/2     1  13/2     127.758078       0.118415 ± .000008
       7     5     2  15/2     0  15/2     127.761141       0.118175 ± .000008
       7     5     3  13/2     1  11/2     128.197094       0.117767 ± .000007
       7     5     3  13/2     1  13/2     128.197205       0.117752 ± .000007
       7     5     3  13/2     1  15/2     128.197342       0.117711 ± .000008
       7     5     2  13/2     0  13/2     128.200416       0.117529 ± .000008
       8     4     5  17/2     0  17/2     129.920121       0.181970 ± .000007
       8     4     4  17/2     1  19/2     130.191242       0.188464 ± .000006
       8     4     4  17/2     1  17/2     130.191427       0.188613 ± .000006
       8     4     4  17/2     1  15/2     130.191587       0.188534 ± .000006
       8     4     5  15/2     0  15/2     130.210926       0.181088 ± .000007
       8     4     4  15/2     1  13/2     130.480258       0.187594 ± .000006
       8     4     4  15/2     1  15/2     130.480402       0.187648 ± .000006
       8     4     4  15/2     1  17/2     130.480573       0.187505 ± .000006
       6     6     0  13/2     1  15/2     131.552656       0.083449 ± .000026
       6     6     1  13/2     0  13/2     131.552758       0.083487 ± .000026
       6     6     0  13/2     1  13/2     131.552775       0.083486 ± .000025
       6     6     0  13/2     1  11/2     131.552871       0.083512 ± .000025
       6     6     0  11/2     1   9/2     132.207172       0.083040 ± .000024
       6     6     0  11/2     1  11/2     132.207228       0.083047 ± .000025
       6     6     1  11/2     0  11/2     132.207232       0.082981 ± .000025
       6     6     0  11/2     1  13/2     132.207300       0.082943 ± .000025
       9     2     7  19/2     0  19/2     132.785139       0.756519 ± .000072
       9     2     7  17/2     0  17/2     132.929004       0.758472 ± .000070
       9     3     7  19/2     1  21/2     137.469215       0.278032 ± .000012
       9     3     7  19/2     1  19/2     137.469412       0.278468 ± .000012
       9     3     7  19/2     1  17/2     137.469586       0.278534 ± .000012
       9     3     7  17/2     1  15/2     137.659547       0.278303 ± .000012
       9     3     7  17/2     1  17/2     137.659725       0.278282 ± .000012
       9     3     7  17/2     1  19/2     137.659903       0.277734 ± .000012
       9     3     6  19/2     0  19/2     141.587113       0.458722 ± .000029
       9     3     6  17/2     0  17/2     141.775321       0.458563 ± .000027
      10     1     9  21/2     1  23/2     145.449158       0.341717 ± .000035
      10     1     9  21/2     1  21/2     145.449357       0.342304 ± .000035
      10     1     9  21/2     1  19/2     145.449543       0.341838 ± .000035
      10     1     9  19/2     1  17/2     145.561773       0.341204 ± .000034
      10     1     9  19/2     1  19/2     145.561959       0.341186 ± .000034
      10     1     9  19/2     1  21/2     145.562158       0.341190 ± .000035
      10     2     9  21/2     0  21/2     145.871398       0.301765 ± .000020
      10     2     9  19/2     0  19/2     145.990023       0.301238 ± .000021
       8     5     4  17/2     0  17/2     148.809415       0.112840 ± .000009
       8     5     3  17/2     1  19/2     148.822346       0.112599 ± .000009
       8     5     3  17/2     1  17/2     148.822520       0.112681 ± .000009
       8     5     3  17/2     1  15/2     148.822669       0.112685 ± .000009
       8     5     4  15/2     0  15/2     149.213740       0.112331 ± .000009
       8     5     3  15/2     1  13/2     149.226609       0.112186 ± .000009
       8     5     3  15/2     1  15/2     149.226746       0.112212 ± .000009
       8     5     3  15/2     1  17/2     149.226894       0.112060 ± .000009
      11     0    11  23/2     0  23/2     150.032159       0.275690 ± .000042
      11     1    11  23/2     1  25/2     150.040553       0.274929 ± .000042
      11     1    11  23/2     1  23/2     150.040751       0.274852 ± .000041
      11     1    11  23/2     1  21/2     150.040950       0.274851 ± .000041
       7     6     2  15/2     1  17/2     150.041354       0.080273 ± .000023
       7     6     2  15/2     1  15/2     150.041496       0.080275 ± .000022
       7     6     1  15/2     0  15/2     150.041533       0.080275 ± .000023
       7     6     2  15/2     1  13/2     150.041614       0.080287 ± .000022
      11     0    11  21/2     0  21/2     150.074302       0.275633 ± .000042
      11     1    11  21/2     1  19/2     150.082745       0.274820 ± .000041
      11     1    11  21/2     1  21/2     150.082931       0.274847 ± .000041
      11     1    11  21/2     1  23/2     150.083129       0.274868 ± .000042
       7     6     2  13/2     1  11/2     150.628237       0.079894 ± .000022
       7     6     2  13/2     1  13/2     150.628333       0.079883 ± .000022
       7     6     1  13/2     0  13/2     150.628401       0.079853 ± .000022
       7     6     2  13/2     1  15/2     150.628437       0.079866 ± .000022
       9     4     6  19/2     1  21/2     153.553823       0.171438 ± .000010
       9     4     6  19/2     1  19/2     153.554015       0.171801 ± .000010
       9     4     6  19/2     1  17/2     153.554181       0.171811 ± .000010
       9     4     6  17/2     1  15/2     153.829076       0.172127 ± .000010
       9     4     6  17/2     1  17/2     153.829237       0.171179 ± .000010
       9     4     6  17/2     1  19/2     153.829410       0.170926 ± .000010
       9     4     5  19/2     0  19/2     154.193692       0.184988 ± .000009
       9     4     5  17/2     0  17/2     154.465941       0.187008 ± .000009
      10     2     8  21/2     1  23/2     159.576003       0.499424 ± .000081
      10     2     8  21/2     1  21/2     159.576202       0.503959 ± .000082
      10     2     8  21/2     1  19/2     159.576388       0.503441 ± .000082
      10     2     8  19/2     1  17/2     159.727066       0.506022 ± .000081
      10     2     8  19/2     1  19/2     159.727252       0.505545 ± .000080
      10     2     8  19/2     1  21/2     159.727438       0.501279 ± .000080
      10     3     8  21/2     0  21/2     163.004783       0.240244 ± .000016
      10     3     8  19/2     0  19/2     163.191640       0.240653 ± .000017
      10     3     7  21/2     1  23/2     169.244154       0.461207 ± .000055
      10     3     7  21/2     1  21/2     169.244352       0.464940 ± .000056
      10     3     7  21/2     1  19/2     169.244526       0.465324 ± .000056
      10     3     7  19/2     1  17/2     169.430973       0.466492 ± .000054
      10     3     7  19/2     1  19/2     169.431147       0.465941 ± .000054
      10     3     7  19/2     1  21/2     169.431333       0.461372 ± .000053
       8     6     3  17/2     0  17/2     171.124634       0.077233 ± .000020
       8     6     2  17/2     1  19/2     171.124833       0.077319 ± .000021
       8     6     2  17/2     1  17/2     171.124981       0.077420 ± .000020
       8     6     2  17/2     1  15/2     171.125118       0.077333 ± .000020
       8     6     3  15/2     0  15/2     171.661498       0.076874 ± .000020
       8     6     2  15/2     1  13/2     171.661709       0.077033 ± .000020
       8     6     2  15/2     1  15/2     171.661820       0.077107 ± .000020
       8     6     2  15/2     1  17/2     171.661944       0.076989 ± .000020
      11     1    10  23/2     0  23/2     171.757288       0.255501 ± .000036
      11     1    10  21/2     0  21/2     171.873127       0.256320 ± .000036
      11     2    10  23/2     1  25/2     171.997048       0.239908 ± .000026
      11     2    10  23/2     1  23/2     171.997249       0.240160 ± .000026
      11     2    10  23/2     1  21/2     171.997427       0.239913 ± .000026
      11     2    10  21/2     1  19/2     172.116299       0.240585 ± .000027
      11     2    10  21/2     1  21/2     172.116478       0.240817 ± .000027
      11     2    10  21/2     1  23/2     172.116669       0.240442 ± .000027
       9     5     5  19/2     1  21/2     172.464543       0.107999 ± .000012
       9     5     5  19/2     1  19/2     172.464716       0.108172 ± .000012
       9     5     5  19/2     1  17/2     172.464876       0.108083 ± .000012
       9     5     4  19/2     0  19/2     172.507211       0.107899 ± .000012
       9     5     5  17/2     1  15/2     172.842568       0.108327 ± .000012
       9     5     5  17/2     1  17/2     172.842711       0.108431 ± .000012
       9     5     5  17/2     1  19/2     172.842867       0.108235 ± .000012
       9     5     4  17/2     0  17/2     172.885138       0.109246 ± .000012
       7     7     1  15/2     1  17/2     175.178901       0.058998 ± .000016
       7     7     0  15/2     0  15/2     175.179001       0.058979 ± .000016
       7     7     1  15/2     1  15/2     175.179011       0.059052 ± .000016
       7     7     1  15/2     1  13/2     175.179112       0.059018 ± .000016
       7     7     1  13/2     1  11/2     175.941465       0.058719 ± .000015
       7     7     1  13/2     1  13/2     175.941534       0.058764 ± .000016
       7     7     0  13/2     0  13/2     175.941542       0.058644 ± .000016
       7     7     1  13/2     1  15/2     175.941599       0.058697 ± .000016
      12     0    12  25/2     1  27/2     176.131723       0.219695 ± .000050
      12     0    12  25/2     1  25/2     176.131921       0.219690 ± .000049
      12     0    12  25/2     1  23/2     176.132120       0.219673 ± .000049
      12     1    12  25/2     0  25/2     176.136335       0.219392 ± .000049
      12     0    12  23/2     1  21/2     176.174349       0.220723 ± .000050
      12     0    12  23/2     1  23/2     176.174522       0.220723 ± .000050
      12     0    12  23/2     1  25/2     176.174733       0.220709 ± .000050
      12     1    12  23/2     0  23/2     176.178986       0.220405 ± .000050
      10     4     7  21/2     0  21/2     179.726479       0.160653 ± .000014
      10     4     7  19/2     0  19/2     179.990690       0.160772 ± .000015
      10     4     6  21/2     1  23/2     181.044198       0.189009 ± .000014
      10     4     6  21/2     1  21/2     181.044386       0.190714 ± .000015
      10     4     6  21/2     1  19/2     181.044563       0.190704 ± .000015
      10     4     6  19/2     1  17/2     181.303509       0.191098 ± .000014
      10     4     6  19/2     1  19/2     181.303678       0.191068 ± .000014
      10     4     6  19/2     1  21/2     181.303859       0.188968 ± .000014
      11     2     9  23/2     0  23/2     188.433930       0.334401 ± .000078
      11     2     9  21/2     0  21/2     188.592865       0.335965 ± .000077
      11     3     9  23/2     1  25/2     190.802902       0.205368 ± .000020
      11     3     9  23/2     1  23/2     190.803094       0.206940 ± .000020
      11     3     9  23/2     1  21/2     190.803275       0.206824 ± .000020
      11     3     9  21/2     1  19/2     190.988023       0.207427 ± .000021
      11     3     9  21/2     1  21/2     190.988194       0.207549 ± .000021
      11     3     9  21/2     1  23/2     190.988388       0.205660 ± .000020
       9     6     4  19/2     1  21/2     194.790909       0.074567 ± .000019
       9     6     4  19/2     1  19/2     194.791070       0.075412 ± .000019
       9     6     4  19/2     1  17/2     194.791219       0.075423 ± .000019
       9     6     3  19/2     0  19/2     194.792595       0.074500 ± .000019
